gene_id	SJINF053_211_withinKeepPairs
FAM76A	706.0
TRAF3IP3	3746.1
POMT2	859.0
VTA1	1520.0
MLXIPL	7.0
BAZ1B	6070.0
RANBP9	2757.47
ETV7	8.0
SPRTN	488.03
METTL13	1456.0
DYRK4	108.51
ZNF207	10604.0
UQCRC1	1884.0
STARD3NL	1520.0
CD9	1501.0
HHATL	0.0
NCAPD2	7234.66
IFFO1	1523.0
GIPR	109.0
PHF7	512.0
SEMA3G	50.0
NISCH	7521.0
STAB1	487.0
FUZ	255.42
SLC6A13	448.0
IDS	4625.5
PRSS3	3.0
ZNF200	342.0
CD4	369.0
LRRC23	197.04
BTK	5567.0
HFE	26.0
SCMH1	1387.94
FYN	2096.0
HIVEP2	9357.0
FMO1	4.0
TCEB3	1969.06
LYPLA2	939.0
CLCN6	2065.06
MRC2	1544.13
NME2	67.58
SLC6A7	0.0
TSPAN9	21.0
BTBD7	3297.0
APBA3	684.73
MKS1	473.0
ABHD5	178.0
ANOS1	5.0
AKAP8L	2924.64
MBTD1	3662.0
UTP18	823.0
RNF216	3500.0
TTC19	1307.03
PTBP1	10657.0
DPF1	43.0
SYT7	1.0
LARS2	853.0
PIK3C2A	2022.0
PLAUR	731.0
ANLN	809.0
WIZ	2493.0
RABGAP1	2658.0
DCN	0.0
QPCTL	211.0
PPP5C	1749.0
CEP68	2912.91
MAP4K3	721.0
ZBTB32	34.0
TYROBP	209.0
TMEM159	368.0
GABRA3	0.0
BRCA1	1410.0
ERCC1	1419.19
CD22	2191.0
SEMA3B	37.0
MBTPS2	630.3
PRICKLE3	294.0
LTF	74.0
EXTL3	2100.0
NR1H4	0.0
ELOVL5	2653.0
ALOX5	169.0
KDM5D	12500.0
CALCOCO1	7995.0
UBR7	2464.0
MAP4K5	2243.0
EHD3	1037.0
PSMC4	1090.0
MAN2B2	3989.0
SLC7A14	0.0
CLDN11	8.0
SLC25A39	1478.0
MVP	3395.94
NUB1	3914.97
PGM3	661.77
RWDD2A	46.0
CLK1	7831.0
POLR3B	217.0
ANGEL1	1194.92
RNF14	1104.0
DNASE1L1	860.92
DDX11	1433.81
HEBP1	212.0
GPRC5A	1.0
MAMLD1	40.0
CD6	298.0
TACC3	2683.0
UFL1	1926.0
POLA2	818.0
ZC3H3	1695.0
CAPN1	8095.0
ACPP	205.0
MDH1	1437.0
SLC30A9	1663.0
MTMR11	40.0
COX15	1102.0
CCDC88C	3298.0
YAF2	673.0
ZMYND11	2720.0
WAS	2681.0
DPEP1	0.0
BID	903.0
MATR3	13951.8
NPC1L1	13.0
XYLT2	927.0
RGPD5	98.27
STMN4	1.0
NUDCD3	3020.0
ISL1	0.0
CHDH	5.0
IL20RA	0.0
CLCA1	0.0
CLCA4	0.0
GLT8D1	1031.5
ATP2C1	3173.22
IGF1	0.0
SLC38A5	217.0
RALBP1	4532.0
RUFY3	2029.0
CNTN1	0.0
SLC11A1	125.0
WWTR1	5.0
AGPS	3460.0
ZNF806	0.0
CXorf56	364.0
ATP1A2	0.0
TTC27	542.0
ZNF582	89.0
VSIG2	1.0
PHLDB1	762.0
MARCO	4.0
CYP24A1	0.0
PRDM11	1072.0
SYT13	0.0
SNAI2	0.0
CD74	53633.0
HGF	568.0
ZRANB1	2205.57
NCDN	762.0
ADGRA2	85.95
CCT8L1P	5.0
ZFP64	713.0
MNAT1	152.0
SAMD4A	690.0
RUNX3	4433.0
MRE11A	2548.89
PLEKHB1	39.0
SERPINB1	6150.0
CYP3A43	2.0
SLC7A9	39.0
SPAST	1500.0
NRXN3	3.0
OSBPL5	1817.0
AQR	2973.0
CPS1	5.0
C8B	1.0
FHL1	4051.0
RTFDC1	1758.0
GABRA1	0.0
NLRP2	84.0
SLC45A4	749.0
RNF10	4829.0
ZNF839	726.79
ZDHHC6	1229.63
GRAMD1B	564.0
RNH1	1504.0
NDUFS1	2213.54
RB1CC1	4404.0
ERP44	1628.0
ALAS1	823.0
BIRC3	553.0
AKAP11	4406.0
GLRX2	46.0
SNAPC1	273.85
DERA	794.99
STRAP	2060.0
ABCC2	293.0
DEF6	4116.0
PLEKHO1	3189.0
GCLM	188.0
UBR2	3803.0
EHD2	1110.0
DEPDC1	347.9
CCDC28A	564.0
RRAGD	208.0
HSF2	520.0
PHF20	2711.0
HSD17B6	10.0
NR1H3	241.0
TYMP	787.82
NCAPH2	1399.0
TOMM34	522.0
SEC63	3832.55
KPNA6	2952.0
VIM	43065.85
RTEL1-TNFRSF6B	655.68
FAS	488.29
RNASET2	4135.0
CD44	31298.99
KCNG1	9.0
AGPAT4	1789.0
SLAMF7	345.0
BTN3A1	4385.91
MIPEP	251.0
PRKCH	1227.2
INSRR	47.0
IFNGR1	1572.0
B4GALT7	807.0
SH2D2A	180.0
VRK2	746.52
TNFRSF1B	3582.0
VEZT	1882.0
POU2F2	3644.0
BRD9	2449.04
SNX1	5271.0
TBPL1	396.88
ARNTL2	161.0
BCLAF1	11629.24
SLC39A9	2176.04
ANK1	123.0
IBSP	0.0
TFB1M	155.0
RABEP1	3583.54
HMGB3	283.0
NUP160	3622.0
BAK1	727.75
MUSK	1.0
IKZF2	8209.0
GRN	2397.0
FAM13B	5818.99
ARHGAP31	42.0
CENPQ	164.0
SARS	2001.0
RANBP3	1958.0
ARID4A	2804.0
TSSC1	845.0
PNPLA6	3635.23
IFT88	505.0
ALG1	547.57
ZCCHC8	1356.0
ABCF2	1461.0
CHPF2	2827.0
LRRC7	11.0
FUT8	489.37
UBA6	3316.0
GAB2	8548.0
ATP6V0A1	636.0
PIAS1	3018.67
SLC4A7	3069.74
APBA2	131.0
MAP2K3	1780.0
EFCAB1	0.0
TMSB10	2788.0
ASTE1	296.78
RNF19A	3976.55
PEX3	209.0
GABARAPL2	1073.0
MYOC	0.0
SH3YL1	1127.94
FAM136A	788.0
VCL	3355.96
DEPDC1B	322.0
DAPK2	100.0
NSMAF	2731.99
ADSS	2213.0
STAP1	368.0
TIMP2	1660.93
RFC1	2176.0
TBC1D23	1505.0
CUL3	3232.69
MYOM2	135.0
OTC	0.0
CYP46A1	258.0
ZZZ3	1766.0
SLC18A1	6.0
USP2	23.6
CASR	4.0
TUBG2	517.73
RPL26L1	61.89
FLT4	13.0
NSUN2	3400.0
FBXO42	1559.0
MFAP3	608.0
MRI1	1329.19
METTL1	98.0
HOXC8	0.0
AGA	285.0
PI4K2B	812.46
BOD1L1	8426.0
MAT2B	3163.03
TLL1	0.0
EDC4	5318.07
TRIO	8925.0
VCAN	1243.0
CLEC16A	3346.0
MSR1	7.0
CDH1	9.0
SKIV2L2	1858.83
DNAH5	0.0
ZFYVE16	3003.0
FAM65A	2187.98
C6	0.0
RAI14	53.0
SOX30	4.0
PNKP	2994.0
BEST2	0.0
PHLPP2	584.0
SPDL1	662.0
STAU2	981.53
PQLC2	430.0
CTNS	523.0
RTN4R	857.0
PHF23	645.0
CDH10	0.0
INPP4A	3091.0
RAB27B	196.0
PSMA4	2074.0
MYO16	5.0
LSG1	1855.0
PARP3	106.0
TNC	1.0
THAP3	262.78
FAM65C	46.0
TDP1	886.0
AIFM2	271.0
C2orf83	0.0
SPATA7	232.0
MED17	1248.0
RETSAT	725.98
CAPG	4743.0
AP2S1	207.0
USH2A	2.0
ZPBP	0.0
TG	23.0
ADAM28	496.0
BARX2	0.0
DCUN1D1	1658.0
JADE2	3885.0
ZIC2	2.0
LCP2	3562.0
TRIT1	485.0
ADRB1	0.0
GUCA2B	0.0
CUL7	1502.8
CTNNA1	4510.0
PHKA2	2860.47
CNTLN	332.0
EPHA3	0.0
HSPA5	7106.0
DSG2	10.0
GEMIN8	319.0
OFD1	4253.0
GPM6B	2464.0
MAGEC2	0.0
PREX2	145.0
WDR37	2008.0
YTHDC2	2134.0
CTPS2	663.0
ATP6V1H	735.0
POLR2B	5457.27
FAM214A	2981.6
ARAP2	4311.0
TPR	11762.91
CP	32.41
KIAA0556	1860.94
DTNBP1	475.0
XK	28.0
ANO2	1.0
C12orf4	702.0
SCML1	133.0
WWC3	1118.0
ARHGAP6	0.0
FAM184B	1.71
MAP4	10760.0
GOPC	3913.99
ROS1	0.0
USP28	846.0
HDAC9	2425.0
TSPAN17	768.0
NOP16	250.9
CC2D2A	48.0
RRM2B	2445.0
ZNF800	2049.0
TNFRSF17	9.0
SNX29	1779.0
LMO3	0.0
MRPS10	742.0
GUCA1A	0.0
RSF1	2503.55
VPS13D	5098.0
CELF2	12186.0
FAM120A	9138.89
R3HDM1	2453.0
COL9A2	956.0
KITLG	2.0
ERCC8	171.14
ADAMTS6	2720.0
H6PD	9286.0
VAMP3	1596.0
PER3	194.73
UTS2	5.27
TNFRSF9	29.0
EPN3	0.0
LTBP1	51.0
RCN1	663.13
ELN	2.32
RFC2	609.0
ARID1B	13521.9
CLPTM1L	3999.0
NEDD4L	164.0
FOXP3	27.0
PPP1R3F	231.0
HEXB	2135.94
PTCD2	555.0
KIAA2022	0.0
JKAMP	1156.0
DKK3	4.0
ARHGEF5	59.19
NFE2L3	509.0
MCUR1	777.0
LIMA1	264.0
LETMD1	1745.0
SLC4A8	1453.93
LAMC3	9.0
PTGER3	4.0
TNIP3	2.0
MAPK9	1697.0
COL23A1	117.0
BCAR1	0.0
FAM160A2	3159.0
HERPUD1	1232.0
HOMER3	266.09
RAD51	231.0
POLQ	863.0
PIK3CB	1271.0
CYBA	3546.0
THOC3	1134.64
HEBP2	1191.0
MPHOSPH9	4289.0
PLEKHA5	284.0
PRSS8	3.0
SIKE1	1763.0
RRP12	1453.75
FNIP2	811.0
MSMO1	507.0
TTC17	5607.0
ALX4	1.0
FSTL4	66.0
FOXN3	5194.77
METTL24	15.0
AKR7A2	621.0
MRTO4	355.0
NNAT	68.0
USE1	403.0
MCF2L2	5.0
NRIP2	168.0
LAMA3	247.0
AP5M1	1795.0
ANAPC4	2716.0
KCNQ1	310.89
TRAPPC3	666.0
THRAP3	6294.0
PHPT1	122.0
ENTPD2	0.0
LY75	6110.85
ARID4B	5896.06
OPN3	1294.1
SDCCAG8	766.71
PTPRN	0.0
HHAT	352.0
KIF1B	846.52
FOXC1	5.0
TBC1D22A	1112.0
SYNE2	2662.0
PLEKHH1	30.24
ATP9A	1430.0
SPO11	0.0
CBLN4	0.0
CHRDL2	0.0
FAM168A	7615.0
RELT	1795.0
GALC	1546.0
NOP58	1566.0
SZRD1	3961.25
KCNH2	23.0
CUL1	1848.48
FAM114A2	873.0
CYFIP2	8699.94
TAB2	4839.0
GINM1	497.0
EIF2AK2	2703.63
USP36	3035.0
KMT2C	8909.0
MCOLN3	0.0
CCDC85A	0.0
PUM2	10685.0
MRPL43	403.17
ITIH4	786.7
ITIH1	10.0
C4orf27	287.0
ZFR	5215.0
ZNF280C	245.0
NPFFR2	0.0
PHF21B	1.0
TRAF1	1429.0
RC3H2	4391.0
IL17RB	95.0
TRAF3IP2	2052.0
GYG2	6.0
DCBLD2	248.0
SERPINB3	0.0
SOAT1	1082.0
PKP2	1.0
MSH4	13.0
F7	1.0
GDI2	9433.87
PRDM1	791.0
ATG5	709.0
TMCC3	227.0
PITHD1	808.0
MTA3	470.0
USP13	1237.0
ATP11B	5505.99
LAMC2	0.0
CDK14	1212.0
SEC61A1	5961.73
PPP1R12A	5382.83
RASGRF1	2.0
CAMK2B	6.0
CROCC	2419.05
POLR3E	2105.0
ATP2B4	17098.83
ZC3H11A	8783.58
RIOK2	746.73
YIPF1	517.0
NDC1	1357.0
DGKG	361.0
FLYWCH1	2365.0
UNKL	1580.51
TBXAS1	661.0
PARP12	2278.0
ALDH18A1	1501.0
TARBP1	22943.0
GATB	433.68
MXD1	897.0
CDK17	1228.0
DNAJC25	190.61
SLC2A3	1390.29
PSD	92.21
CTDP1	2729.0
YBX3	14204.0
STYK1	246.0
WNK1	31059.98
RPS17P5	0.0
CCAR1	5190.0
OGFR	1814.0
GNA15	5852.16
CREB3L3	2.0
PIGV	551.0
PTPRU	54.0
SNRNP40	785.0
RIMBP2	1.0
COL11A1	0.0
QSER1	1480.0
MPC1	349.0
ACAA1	1823.93
BCAT1	2430.0
HDAC7	5930.04
LZTS1	18.0
PRDM6	7.0
WNT8A	4.0
SPAG4	17.0
NCKAP1	8.0
MRPS35	675.0
GUCY1B3	3125.0
SFSWAP	3474.0
TNK2	3808.34
MON2	5467.0
CDH3	3.0
ARSF	0.0
GPBP1	4667.0
DGAT2	19.0
ZNF112	2.0
CS	5445.0
LTK	6030.0
MRPS24	153.0
ELMO2	2783.0
WAPAL	5327.0
VMP1	1372.87
APPBP2	1668.0
POLD1	2036.0
SEZ6	21.0
EIF4B	12137.49
SLC6A16	65.0
GLTSCR1	982.0
SPHK2	471.21
RPL18	3155.0
CA11	30.0
ISOC2	152.0
U2AF2	5501.94
EPN1	2625.0
MED29	1992.0
AHRR	91.0
GSC2	0.0
ZNF275	936.0
MTMR1	1652.0
GPC1	101.0
ADCK1	251.0
HAGH	504.33
RNF4	2402.0
CASP8	1464.0
LIMCH1	0.0
ASUN	723.0
TM7SF3	2714.0
DLX3	0.0
SPA17	31.0
TSPAN32	2006.0
WISP2	0.0
DMRT3	0.0
ST3GAL6	178.1
ATP2C2	26.52
NGFR	5.0
CDON	33.0
TAF2	1669.0
HIPK2	1904.0
TNPO3	2484.0
MEF2BNB-MEF2B	149.42
RFXANK	616.66
TMEM161A	446.0
LPAR2	1122.0
CTSA	2481.94
SUGP2	10915.59
SLC12A2	1047.0
SNX24	219.0
EYA2	0.0
CNN2	5369.0
ABCA7	15149.0
SNCAIP	1.0
DDX20	1015.0
BTBD1	2638.0
FAR2	1020.82
BCAS1	0.0
POU1F1	1.0
CHI3L2	77.0
SBNO2	3330.0
PMS1	1421.0
HMG20B	2080.0
CALCRL	24.0
TAF11	744.0
ANKS1A	1998.0
AP3D1	6519.0
ZNF76	1744.0
SLC9A3R2	75.0
NTHL1	219.58
UHRF1BP1	2319.0
GNAI3	2862.0
IPO5	4374.0
OAT	572.0
WDR3	1179.0
PKN2	2496.0
WDR18	534.0
TRAM2	3246.0
NTN1	366.0
GLP2R	8.0
MCM10	475.0
DGKA	3088.0
ERBB3	8.0
ROPN1	0.0
ANKRD44	2805.0
KARS	2779.26
ADAT1	1228.0
PDIA5	206.0
TBC1D22B	1126.02
NDUFB4	424.0
SPEN	12863.0
MYLK	1006.9
ZC3H15	1743.0
MAP2K4	1208.0
TMEM206	934.0
SNAP91	94.0
SLK	1856.0
CYB5R4	3155.0
COL17A1	1.0
GSTO2	17.0
SEC61A2	1188.34
PRKCQ	511.0
TLE2	65.0
ASB1	1778.0
FAM107B	5292.0
ME1	17.0
TBC1D1	7811.0
CDK13	5293.0
MTHFD2	741.62
SLC9A7	3812.0
FOXJ2	2585.0
YBX1	8512.27
PDE4A	714.0
PPP2R5A	3558.0
CTNNA2	0.0
ELAVL1	2321.0
TIE1	2042.0
DIP2B	4560.0
SMARCD1	4333.0
KDM4A	2464.76
NFYC	1933.1
ZMYND12	8.0
SLC9A3	11.16
NGEF	0.0
ASPM	1730.0
CD84	6514.0
ELOVL1	1434.0
SPI1	3370.0
ZNRD1	167.31
MPPED2	2595.0
CLDN18	0.0
ZBTB11	2344.88
ATXN3	2029.58
GOLGA5	1108.0
FGFR2	13.0
LRRC40	757.0
ISOC1	269.0
EML1	3.0
TRMT11	231.0
THUMPD1	2461.0
MSANTD3	105.0
KIF26A	1770.0
ATG2B	5595.74
ARFGEF1	5141.58
ACSM2B	0.0
ZFAT	773.0
MTFR1	333.42
STAG3	981.97
FECH	547.0
MYO9A	3199.97
DDX3Y	9526.0
PFKP	2351.0
IDI1	3429.08
SP100	3614.42
KLF6	32289.0
PPAP2A	225.17
NEO1	18.0
TRAM1	7646.0
PHKA1	6.34
TNFRSF1A	2210.0
CACNB1	543.0
EVI5	539.0
STOML1	321.0
PKM	3708.0
DHX29	1594.0
DNTTIP2	1703.0
METTL22	577.0
TP53BP1	6116.78
TRO	596.0
RRP15	466.0
RHOA	13475.0
DHX8	3252.0
PMS2P4	18.26
PRKCZ	36.0
ZFY	1523.0
IARS2	3367.0
SYT1	522.0
NAV3	7.0
IDH3G	783.69
ROGDI	359.0
PDZD4	86.0
ATP2B3	2.0
ROCK1	9105.51
CBFB	3892.0
PDK3	200.0
HYAL2	106.0
HDAC4	2670.45
RASSF1	4869.06
FGFR3	23.0
IFI35	464.0
HEATR6	442.0
COASY	1410.0
PLEKHH3	31.0
MEF2A	8134.95
OTUD5	2669.0
TFE3	1958.0
TBC1D25	1083.0
ACSL4	3918.0
INPP5A	1224.95
GPKOW	556.0
GRIPAP1	5291.0
FTSJ1	754.0
PRR11	658.0
REEP1	1.0
ATP11A	4708.0
POLR1A	2529.0
LAPTM4A	3021.0
TTC7A	12717.58
IP6K2	1736.0
STON1-GTF2A1L	67.42
SRBD1	1021.0
KIF2A	2620.0
RASGRP2	28306.0
PSME4	4155.0
IFT80	1902.47
SIRT2	1345.0
ERLEC1	1156.0
PPP2R5B	412.0
PYGM	357.0
PAGE1	0.0
PITX1	2.0
TRPC7	0.0
MAST4	1506.0
ADGRF5	0.0
SDK2	1105.0
ADAM7	0.0
NUP133	2517.0
NUCKS1	7341.0
VPS35	5743.0
DNAJA2	1592.0
BCL3	1270.0
KCNAB2	4253.0
ABCC9	3.0
GAL	0.0
CLEC2D	20260.07
FUNDC1	108.0
MAOB	2.0
RORA	378.65
DRD4	8.0
TGFBR3	202.0
KIAA1107	348.0
PLA2G10	0.0
HES2	20.0
ATP1B3	1221.0
NEDD4	500.0
PIGB	659.59
MAPK6	1359.0
GNB5	627.0
RAB27A	1390.04
CECR5	833.0
UFD1L	1183.56
LRP6	823.0
GUCY2C	6.0
SCT	0.0
PHRF1	2921.0
IKBKAP	3209.0
NUCB2	4358.0
PFN2	11.0
PTPN3	60.0
SPTB	116.24
DAPP1	1743.0
FGF10	0.0
SLC44A1	1849.0
TMEM260	1182.0
SMG6	2065.36
EXOC5	3366.0
CLTCL1	83.0
FGF22	9.0
FSTL3	132.0
DGCR2	3327.0
RNF126	749.0
MNT	1397.67
ZXDC	3224.0
JMJD6	908.0
POLB	424.0
ST6GALNAC1	11.0
WIPI1	169.21
FRMPD1	6.0
GBA2	1688.0
NDST1	2101.0
ASNS	245.0
AP3M2	347.0
CNGB1	0.0
ST6GALNAC2	56.77
CHAT	1.0
PABPC1	43336.97
TESK2	499.0
CFAP20	609.0
CSNK2A2	2810.0
PTPN21	3.0
EIF2B3	264.0
CAMK2A	3.0
TCOF1	4765.0
CDC42	7731.95
OSBPL3	3251.0
EPHA8	0.0
SLC12A3	5.0
RAD18	854.0
ATP2B1	3038.0
TRPM5	8.0
NCK2	1737.45
MAP4K4	10002.0
MGAT4A	1679.0
RPL31	2982.0
WDR1	9421.0
SNX13	2146.0
MS4A12	0.0
ARHGAP10	127.0
RPS6KA2	175.0
ING3	1102.0
VASH1	177.76
LMCD1	288.0
WBSCR22	1154.99
SEL1L	3375.0
TRIP13	255.0
ATP6AP1	3898.0
TCF3	17431.0
TRIB2	2354.0
DAZAP1	3486.0
MBD3	2286.34
PRLH	0.0
HLTF	1496.0
FAM50A	612.0
FAM3A	739.0
CPSF1	11989.0
MYO3B	0.0
CYBRD1	270.0
CDH19	0.0
PDCD2	1277.0
SLC6A15	0.0
RDH11	1423.0
PRKACA	1450.0
ADGRL1	965.24
SPP2	0.0
ACTN1	1606.93
ZFYVE26	2592.0
RPS6KA6	2.0
EPN2	24.0
PTPN18	1667.0
LIMS2	108.0
ASIC4	4.0
SPEG	20.0
LNX1	82.86
ALDH3A2	2133.0
TFRC	4939.0
SREBF1	1357.06
TRPC5	6.0
AFF4	5192.0
UBE2D1	542.0
MPP5	314.0
RHOBTB1	293.0
SMC1A	8757.0
HSD17B10	376.0
MARK2	3063.0
HMMR	447.0
CHFR	2371.0
TRHDE	0.0
P4HA2	32.0
FCGR2B	386.17
NFATC3	13955.24
TRNT1	588.06
ACADVL	7420.0
STK10	10026.0
FBXW11	2737.0
ACAP1	3644.0
CRMP1	693.0
EVC	7.0
DERL2	862.15
SIDT1	309.0
NDE1	1430.73
MRVI1	52.0
TMEM38A	13.0
AP1M1	3092.0
PVR	37.0
XRCC1	1029.03
SCARB1	2273.0
CYP2W1	3.0
MCM2	3366.0
MOV10L1	1.0
PANX2	800.0
SELO	1284.2
TP63	6084.0
ALPK1	1466.0
LLGL2	606.0
PDE8A	1517.0
CLCN4	12.0
NLE1	394.68
SDHA	2819.41
SMARCE1	5329.95
FNDC8	4.32
GSDMB	1162.0
KDM5A	6258.94
ADAM11	120.0
PPP2R3A	58.0
FERMT2	11.0
ABCB11	0.0
DHRS9	11.0
CD5L	1.0
PTGS2	63.0
IGF2BP2	5932.0
MAP3K13	222.71
ST6GAL1	5905.0
TBX21	333.0
VDAC1P1	1.0
FRY	1561.98
PICALM	5406.0
NSF	2198.0
GLI2	0.0
CLASP1	3639.7
MRPS34	362.0
NOTCH3	31.0
CLNS1A	1151.0
PPP2R2C	0.0
TEAD2	13.19
EED	613.0
CDHR2	15.02
SNCB	0.0
TSG101	879.0
C17orf85	6949.0
ATP2A3	21350.0
CA12	2.0
MGLL	698.0
NTN4	1.0
BCS1L	431.54
NUAK1	64.0
DPP8	3097.0
SLC24A1	437.4
ZNF532	92.0
SCARF1	489.0
LMAN1	2499.0
HACD3	820.97
IPCEF1	227.0
ZZEF1	8405.0
NOX3	1.0
ENO1	13971.8
SLC12A1	18.0
MYDGF	326.0
ANO8	1094.0
TUBE1	451.0
ARHGEF10L	70.0
TXK	926.0
WSCD2	1.0
KCNQ2	52.0
TACR2	9.0
ACTR6	423.0
TIPIN	156.0
SRI	400.0
EIF4G3	7430.0
NUP37	243.0
SEMA3A	52.0
GTSE1	584.0
SEMA3C	2.0
TTC38	605.0
ACAT1	453.0
GRAMD4	12862.0
CELSR1	946.0
WNT8B	5.0
ZNF638	7255.0
SLC25A40	764.47
TIMM21	293.0
ADD2	4026.0
FGF4	0.0
RASAL2	226.0
VPS9D1	552.42
ZNF37A	1511.0
MARK3	3335.0
SLC25A3	6688.0
FNDC3B	277.0
FOSL2	25081.0
CACNG5	0.0
CACNG4	4.0
FRYL	6140.0
TMEM131	4857.0
FSCN1	487.0
ACTB	88020.99
MOCOS	1.0
PLD1	1015.0
ATP12A	0.0
WDR62	949.0
DLG1	2259.99
RAB7A	3830.0
BCAP29	1148.05
SEC31B	2947.39
SART3	2479.0
ARHGAP15	1155.0
TUBA3D	11.0
PAX2	0.0
EXOSC7	211.0
KIFAP3	642.0
MKRN2	1319.0
MCM6	2285.0
REXO2	292.0
RBM7	607.17
RBMS2	840.93
BAZ2A	13118.07
PTPN23	3334.0
MLH1	1115.0
UNG	574.0
FMO4	113.0
KLHL20	907.0
RGS11	4.0
SLC46A1	150.4
PLXNA2	442.0
SPAG5	1723.43
ANKRD13A	4953.24
TPD52	344.61
ACACB	242.0
TRAF4	828.38
