gene_id	SJINF053_211
CREBBP	15667.0951
BZRAP1	5146.4781
MPO	611.8252
PON1	0.0
GCFC2	868.8946
WDR54	248.072
CROT	366.3239
ABCB4	539.8458
KMT2E	20960.0771
RHBDD2	1667.0951
SOX8	24.4216
IBTK	4623.3933
ZNF195	2077.1208
MYCBP2	29047.4165
FBXL3	3511.9152
ITGAL	22355.964
PDK2	1053.4961
ITGA3	17.9949
ZFX	2808.4833
LAMP2	5818.7661
ITGA2B	82.2622
ASB4	0.0
GDE1	1723.6504
C19orf60	609.2545
CRLF1	76.1311
OSBPL7	2632.3907
TMEM98	0.0
YBX2	1.2853
KRT33A	0.0
MAP3K14	2859.2031
ABCC8	0.0
CACNG3	0.0
TMEM132A	7.7121
AP2B1	10863.7532
TAC1	0.0
ZNF263	2214.9614
CX3CL1	0.0
SPATA20	1532.1337
CACNA1G	6.4267
TNFRSF12A	5.1414
DLX6	0.0
MAP3K9	209.5116
RALA	2363.7532
BAIAP2L1	129.4473
KDM7A	2332.9049
ETV1	0.0
AGK	1323.9075
ALDH3B1	604.1131
TTC22	34.7044
PHTF2	2091.2596
CCL26	0.0
FARP2	1332.8792
USH1C	0.0
GGCT	277.3522
DBF4	504.4473
TBXA2R	48.8432
IFRD1	1474.2931
LGALS14	0.0
COX10	538.5219
GTF2IRD1	214.653
PAF1	1926.7352
VPS41	2944.7301
ARHGAP44	886.8895
ELAC2	5401.0283
SCIN	3.856
ARSD	3946.1183
PNPLA4	71.9794
MYH13	0.0
ADIPOR2	5908.7404
CDKL3	4.3445
UPP2	0.0
PRSS21	1.2853
MARK4	1850.8997
PROM1	12543.7018
CCDC124	535.9897
CEACAM21	649.1003
PAFAH1B1	8002.5707
NOS2	0.0
DNAH9	1.2853
KIAA0100	21804.0874
SLC13A2	0.0
GAS7	25892.0308
TRAPPC6A	161.9537
MATK	262.2108
CEACAM7	0.0
CD79B	1683.8046
SCN4A	79.6915
ST7L	384.8843
TKTL1	120.8226
PAX6	214.653
RPUSD1	1100.2571
RHBDF1	73.2648
LUC7L	4381.7481
CACNA2D2	145.2442
BAIAP3	110.5784
TSR3	565.5141
PIGQ	2486.9794
CRAMP1L	19680.8355
TEAD3	5.1414
SELE	0.0
DNAJC11	1951.4396
FMO3	0.0
MYLIP	1880.4627
NOX1	0.0
E2F2	1317.4807
PSMB1	1587.4036
SYN1	11.5681
JARID2	12170.9512
CDKL5	271.2082
CAMK1G	0.0
CDK11A	3057.6607
NADK	4065.5527
TFAP2B	0.0
TFAP2D	0.0
DLEC1	72.0694
CYTH3	2903.599
ADAM22	124.6787
SYPL1	3641.3882
CYB561	149.1003
SPAG9	5811.054
CELSR3	87.4036
AASS	894.6015
PLEKHG6	26.9923
SS18L2	106.6838
MPND	468.1234
MGST1	5.1414
CRY1	1392.0308
PGLYRP1	3.856
NFIX	532.1337
ST3GAL1	12185.09
MMP25	109.7686
IL32	295.6298
PKD1	8973.1748
MAPK8IP2	11.5681
MED24	5237.7892
RHOBTB2	1060.0129
HEATR5B	10449.8715
SEC62	3491.0026
RPS20	3195.3728
CSDE1	18438.3033
UBE3C	4131.1054
REV3L	4283.5219
TENM1	137.5321
PAX7	0.0
MASP2	443.4447
IYD	0.0
FAM76A	907.455
TRAF3IP3	4815.0386
POMT2	1104.1131
VTA1	1953.7275
MLXIPL	8.9974
BAZ1B	7802.0566
RANBP9	3544.3059
ETV7	10.2828
SPRTN	627.2879
METTL13	1871.4653
DYRK4	139.473
ZNF207	13629.8201
UQCRC1	2421.5938
STARD3NL	1953.7275
CD9	1929.3059
HHATL	0.0
NCAPD2	9299.0488
IFFO1	1957.5835
GIPR	140.1028
PHF7	658.0977
SEMA3G	64.2674
NISCH	9667.0951
STAB1	625.964
FUZ	328.3033
SLC6A13	575.8355
IDS	5945.3728
PRSS3	3.856
ZNF200	439.5887
CD4	474.2931
LRRC23	253.2648
BTK	7155.527
HFE	33.419
SCMH1	1783.9846
FYN	2694.0874
HIVEP2	12028.2776
FMO1	5.1414
TCEB3	2530.9254
LYPLA2	1206.9409
CLCN6	2654.3188
MRC2	1984.7429
NME2	87.3136
SLC6A7	0.0
TSPAN9	26.9923
BTBD7	4237.7892
APBA3	880.1157
MKS1	607.9692
ABHD5	228.7918
ANOS1	6.4267
AKAP8L	3759.1774
MBTD1	4706.9409
UTP18	1057.8406
RNF216	4498.7147
TTC19	1679.9871
PTBP1	13697.9434
DPF1	55.2699
SYT7	1.2853
LARS2	1096.401
PIK3C2A	2598.9717
PLAUR	939.5887
ANLN	1039.8458
WIZ	3204.3702
RABGAP1	3416.4524
DCN	0.0
QPCTL	271.2082
PPP5C	2248.072
CEP68	3744.1003
MAP4K3	926.7352
ZBTB32	43.7018
TYROBP	268.6375
TMEM159	473.0077
GABRA3	0.0
BRCA1	1812.3393
ERCC1	1824.1517
CD22	2816.1954
SEMA3B	47.5578
MBTPS2	810.1542
PRICKLE3	377.892
LTF	95.1157
EXTL3	2699.2288
NR1H4	0.0
ELOVL5	3410.0257
ALOX5	217.2237
KDM5D	16068.1234
CALCOCO1	10276.3496
UBR7	3167.0951
MAP4K5	2883.0334
EHD3	1332.9049
PSMC4	1401.0283
MAN2B2	5127.2494
SLC7A14	0.0
CLDN11	10.2828
SLC25A39	1899.7429
MVP	4366.2468
NUB1	5032.0951
PGM3	850.6041
RWDD2A	59.126
CLK1	10065.5527
POLR3B	278.9203
ANGEL1	1535.8869
RNF14	1419.0231
DNASE1L1	1106.581
DDX11	1842.9434
HEBP1	272.4936
GPRC5A	1.2853
MAMLD1	51.4139
CD6	383.0334
TACC3	3448.5861
UFL1	2475.5784
POLA2	1051.4139
ZC3H3	2178.6632
CAPN1	10404.8843
ACPP	263.4961
MDH1	1847.0437
SLC30A9	2137.5321
MTMR11	51.4139
COX15	1416.4524
CCDC88C	4239.0746
YAF2	865.0386
ZMYND11	3496.144
WAS	3446.0154
DPEP1	0.0
BID	1160.6684
MATR3	17934.383
NPC1L1	16.7095
XYLT2	1191.5167
RGPD5	126.3239
STMN4	1.2853
NUDCD3	3881.7481
ISL1	0.0
CHDH	6.4267
IL20RA	0.0
CLCA1	0.0
CLCA4	0.0
GLT8D1	1325.8355
ATP2C1	4078.6889
IGF1	0.0
SLC38A5	278.9203
RALBP1	5825.1928
RUFY3	2607.9692
CNTN1	0.0
SLC11A1	160.6684
WWTR1	6.4267
AGPS	4448.5861
ZNF806	0.0
CXorf56	467.8663
ATP1A2	0.0
TTC27	696.6581
ZNF582	114.3959
VSIG2	1.2853
PHLDB1	979.4344
MARCO	5.1414
CYP24A1	0.0
PRDM11	1377.892
SYT13	0.0
SNAI2	0.0
CD74	68939.5887
HGF	730.0771
ZRANB1	2834.9229
NCDN	979.4344
ADGRA2	110.4756
CCT8L1P	6.4267
ZFP64	916.4524
MNAT1	195.3728
SAMD4A	886.8895
RUNX3	5699.2288
MRE11A	3276.2082
PLEKHB1	50.1285
SERPINB1	7904.8843
CYP3A43	2.5707
SLC7A9	50.1285
SPAST	1928.0206
NRXN3	3.856
OSBPL5	2335.4756
AQR	3821.3368
CPS1	6.4267
C8B	1.2853
FHL1	5206.9409
RTFDC1	2259.6401
GABRA1	0.0
NLRP2	107.9692
SLC45A4	962.7249
RNF10	6206.9409
ZNF839	934.1774
ZDHHC6	1580.5013
GRAMD1B	724.9357
RNH1	1933.162
NDUFS1	2846.4267
RB1CC1	5660.6684
ERP44	2092.545
ALAS1	1057.8406
BIRC3	710.7969
AKAP11	5663.2391
GLRX2	59.126
SNAPC1	351.9923
DERA	1021.8509
STRAP	2647.8149
ABCC2	376.6067
DEF6	5290.4884
PLEKHO1	4098.9717
GCLM	241.6452
UBR2	4888.1748
EHD2	1426.7352
DEPDC1	447.1722
CCDC28A	724.9357
RRAGD	267.3522
HSF2	668.3805
PHF20	3484.5758
HSD17B6	12.8535
NR1H3	309.7686
TYMP	1012.6221
NCAPH2	1798.2005
TOMM34	670.9512
SEC63	4926.1568
KPNA6	3794.3445
VIM	55354.563
RTEL1-TNFRSF6B	842.7763
FAS	627.6221
RNASET2	5316.1954
CD44	40230.0771
KCNG1	11.5681
AGPAT4	2299.4859
SLAMF7	443.4447
BTN3A1	5637.4036
MIPEP	322.6221
PRKCH	1577.3779
INSRR	60.4113
IFNGR1	2020.5656
B4GALT7	1037.2751
SH2D2A	231.3625
VRK2	959.5373
TNFRSF1B	4604.1131
VEZT	2419.0231
POU2F2	4683.8046
BRD9	3147.8663
SNX1	6775.0643
TBPL1	510.1285
ARNTL2	206.9409
BCLAF1	14947.6093
SLC39A9	2796.9666
ANK1	158.0977
IBSP	0.0
TFB1M	199.2288
RABEP1	4606.0925
HMGB3	363.7532
NUP160	4655.527
BAK1	935.4113
MUSK	1.2853
IKZF2	10552.6992
GRN	3080.9769
FAM13B	7479.4216
ARHGAP31	53.9846
CENPQ	210.7969
SARS	2571.9794
RANBP3	2516.7095
ARID4A	3604.1131
TSSC1	1086.1183
PNPLA6	4673.8175
IFT88	649.1003
ALG1	703.8175
ZCCHC8	1742.9306
ABCF2	1877.892
CHPF2	3633.6761
LRRC7	14.1388
FUT8	629.0103
UBA6	4262.2108
GAB2	10987.1465
ATP6V0A1	817.4807
PIAS1	3880.0386
SLC4A7	3946.0154
APBA2	168.3805
MAP2K3	2287.9177
EFCAB1	0.0
TMSB10	3583.5476
ASTE1	381.4653
RNF19A	5111.2468
PEX3	268.6375
GABARAPL2	1379.1774
MYOC	0.0
SH3YL1	1449.7943
FAM136A	1012.8535
VCL	4313.5733
DEPDC1B	413.8817
DAPK2	128.5347
NSMAF	3511.5681
ADSS	2844.473
STAP1	473.0077
TIMP2	2134.8715
RFC1	2796.9152
TBC1D23	1934.4473
CUL3	4155.1285
MYOM2	173.5219
OTC	0.0
CYP46A1	331.6195
ZZZ3	2269.9229
SLC18A1	7.7121
USP2	30.3342
CASR	5.1414
TUBG2	665.4627
RPL26L1	79.5501
FLT4	16.7095
NSUN2	4370.1799
FBXO42	2003.856
MFAP3	781.491
MRI1	1708.4704
METTL1	125.964
HOXC8	0.0
AGA	366.3239
PI4K2B	1044.2931
BOD1L1	10830.3342
MAT2B	4066.838
TLL1	0.0
EDC4	6835.5656
TRIO	11471.7224
VCAN	1597.6864
CLEC16A	4300.7712
MSR1	8.9974
CDH1	11.5681
SKIV2L2	2389.2416
DNAH5	0.0
ZFYVE16	3859.8972
FAM65A	2812.3136
C6	0.0
RAI14	68.1234
SOX30	5.1414
PNKP	3848.329
BEST2	0.0
PHLPP2	750.6427
SPDL1	850.8997
STAU2	1261.6067
PQLC2	552.6992
CTNS	672.2365
RTN4R	1101.5424
PHF23	829.0488
CDH10	0.0
INPP4A	3973.0077
RAB27B	251.928
PSMA4	2665.8098
MYO16	6.4267
LSG1	2384.3188
PARP3	136.2468
TNC	1.2853
THAP3	337.7635
FAM65C	59.126
TDP1	1138.8175
AIFM2	348.329
C2orf83	0.0
SPATA7	298.2005
MED17	1604.1131
RETSAT	933.1362
CAPG	6096.401
AP2S1	266.0668
USH2A	2.5707
ZPBP	0.0
TG	29.563
ADAM28	637.5321
BARX2	0.0
DCUN1D1	2131.1054
JADE2	4993.5733
ZIC2	2.5707
LCP2	4578.4062
TRIT1	623.3933
ADRB1	0.0
GUCA2B	0.0
CUL7	1932.9049
CTNNA1	5796.9152
PHKA2	3676.6967
CNTLN	426.7352
EPHA3	0.0
HSPA5	9133.6761
DSG2	12.8535
GEMIN8	410.0257
OFD1	5466.581
GPM6B	3167.0951
MAGEC2	0.0
PREX2	186.3753
WDR37	2580.9769
YTHDC2	2742.9306
CTPS2	852.1851
ATP6V1H	944.7301
POLR2B	7014.473
FAM214A	3832.3907
ARAP2	5541.1311
TPR	15119.4216
CP	41.6581
KIAA0556	2391.9537
DTNBP1	610.5398
XK	35.9897
ANO2	1.2853
C12orf4	902.3136
SCML1	170.9512
WWC3	1437.018
ARHGAP6	0.0
FAM184B	2.1979
MAP4	13830.3342
GOPC	5030.8355
ROS1	0.0
USP28	1087.4036
HDAC9	3116.9666
TSPAN17	987.1465
NOP16	322.4936
CC2D2A	61.6967
RRM2B	3142.6735
ZNF800	2633.6761
TNFRSF17	11.5681
SNX29	2286.6324
LMO3	0.0
MRPS10	953.7275
GUCA1A	0.0
RSF1	3217.9306
VPS13D	6552.6992
CELF2	15664.5244
FAM120A	11746.6452
R3HDM1	3152.9563
COL9A2	1228.7918
KITLG	2.5707
ERCC8	219.9743
ADAMTS6	3496.144
H6PD	11935.7326
VAMP3	2051.4139
PER3	250.2956
UTS2	6.7738
TNFRSF9	37.2751
EPN3	0.0
LTBP1	65.5527
RCN1	852.3522
ELN	2.982
RFC2	782.7763
ARID1B	17380.3342
CLPTM1L	5140.1028
NEDD4L	210.7969
FOXP3	34.7044
PPP1R3F	296.9152
HEXB	2745.4242
PTCD2	713.3676
KIAA2022	0.0
JKAMP	1485.8612
DKK3	5.1414
ARHGEF5	76.0797
NFE2L3	654.2416
MCUR1	998.7147
LIMA1	339.3316
LETMD1	2242.9306
SLC4A8	1870.0643
LAMC3	11.5681
PTGER3	5.1414
TNIP3	2.5707
MAPK9	2181.2339
COL23A1	150.3856
BCAR1	0.0
FAM160A2	4060.4113
HERPUD1	1583.5476
HOMER3	342.018
RAD51	296.9152
POLQ	1109.2545
PIK3CB	1633.6761
CYBA	4557.8406
THOC3	1458.4062
HEBP2	1530.8483
MPHOSPH9	5512.8535
PLEKHA5	365.0386
PRSS8	3.856
SIKE1	2266.0668
RRP12	1868.5733
FNIP2	1042.4165
MSMO1	651.671
TTC17	7206.9409
ALX4	1.2853
FSTL4	84.8329
FOXN3	6679.5373
METTL24	19.2802
AKR7A2	798.2005
MRTO4	456.2982
NNAT	87.4036
USE1	517.9949
MCF2L2	6.4267
NRIP2	215.9383
LAMA3	317.4807
AP5M1	2307.1979
ANAPC4	3491.0026
KCNQ1	399.6015
TRAPPC3	857.3265
THRAP3	8089.9743
PHPT1	156.8123
ENTPD2	0.0
LY75	7854.563
ARID4B	7578.4961
OPN3	1663.3676
SDCCAG8	985.4884
PTPRN	0.0
HHAT	452.4422
KIF1B	1088.072
FOXC1	6.4267
TBC1D22A	1429.3059
SYNE2	3421.5938
PLEKHH1	38.8689
ATP9A	1838.0463
SPO11	0.0
CBLN4	0.0
CHRDL2	0.0
FAM168A	9787.9177
RELT	2307.1979
GALC	1987.1465
NOP58	2012.8535
SZRD1	5091.581
KCNH2	29.563
CUL1	2375.9383
FAM114A2	1122.108
CYFIP2	11182.4422
TAB2	6219.7943
GINM1	638.8175
EIF2AK2	3475.1028
USP36	3901.0283
KMT2C	11451.1568
MCOLN3	0.0
CCDC85A	0.0
PUM2	13733.9332
MRPL43	518.2134
ITIH4	1011.1825
ITIH1	12.8535
C4orf27	368.8946
ZFR	6704.3702
ZNF280C	314.91
NPFFR2	0.0
PHF21B	1.2853
TRAF1	1836.7609
RC3H2	5643.9589
IL17RB	122.108
TRAF3IP2	2637.5321
GYG2	7.7121
DCBLD2	318.7661
SERPINB3	0.0
SOAT1	1390.7455
PKP2	1.2853
MSH4	16.7095
F7	1.2853
GDI2	12125.7969
PRDM1	1016.7095
ATG5	911.3111
TMCC3	291.7738
PITHD1	1038.5604
MTA3	604.1131
USP13	1589.9743
ATP11B	7077.108
LAMC2	0.0
CDK14	1557.8406
SEC61A1	7665.4627
PPP1R12A	6918.8046
RASGRF1	2.5707
CAMK2B	7.7121
CROCC	3109.3188
POLR3E	2705.6555
ATP2B4	21978.1491
ZC3H11A	11289.9486
RIOK2	959.8072
YIPF1	664.5244
NDC1	1744.2159
DGKG	464.0103
FLYWCH1	3041.1311
UNKL	2031.5039
TBXAS1	849.6144
PARP12	2928.0206
ALDH18A1	1929.3059
TARBP1	29489.7172
GATB	557.4293
MXD1	1152.9563
CDK17	1579.6915
DNAJC25	245.0
SLC2A3	1787.0051
PSD	118.5219
CTDP1	3507.7121
YBX3	18257.0694
STYK1	316.1954
WNK1	39925.4499
RPS17P5	0.0
CCAR1	6670.9512
OGFR	2331.6195
GNA15	7522.0566
CREB3L3	2.5707
PIGV	708.2262
PTPRU	69.4087
SNRNP40	1008.9974
RIMBP2	1.2853
COL11A1	0.0
QSER1	1902.3136
MPC1	448.5861
ACAA1	2344.383
BCAT1	3123.3933
HDAC7	7622.1594
LZTS1	23.1362
PRDM6	8.9974
WNT8A	5.1414
SPAG4	21.8509
NCKAP1	10.2828
MRPS35	867.6093
GUCY1B3	4016.7095
SFSWAP	4465.2956
TNK2	4895.0386
MON2	7028.2776
CDH3	3.856
ARSF	0.0
GPBP1	5998.7147
DGAT2	24.4216
ZNF112	2.5707
CS	7000.0
LTK	7751.928
MRPS24	196.6581
ELMO2	3577.1208
WAPAL	6848.329
VMP1	1764.6144
APPBP2	2143.9589
POLD1	2616.9666
SEZ6	26.9923
EIF4B	15600.8869
SLC6A16	83.5476
GLTSCR1	1262.2108
SPHK2	605.6684
RPL18	4055.2699
CA11	38.5604
ISOC2	195.3728
U2AF2	7071.9794
EPN1	3374.036
MED29	2560.4113
AHRR	116.9666
GSC2	0.0
ZNF275	1203.0848
MTMR1	2123.3933
GPC1	129.8201
ADCK1	322.6221
HAGH	648.2391
RNF4	3088.6889
CASP8	1881.7481
LIMCH1	0.0
ASUN	929.3059
TM7SF3	3488.4319
DLX3	0.0
SPA17	39.8458
TSPAN32	2578.4062
WISP2	0.0
DMRT3	0.0
ST3GAL6	228.9203
ATP2C2	34.0874
NGFR	6.4267
CDON	42.4165
TAF2	2145.2442
HIPK2	2447.3008
TNPO3	3192.8021
MEF2BNB-MEF2B	192.0566
RFXANK	792.6221
TMEM161A	573.2648
LPAR2	1442.1594
CTSA	3190.1542
SUGP2	14030.3213
SLC12A2	1345.7584
SNX24	281.491
EYA2	0.0
CNN2	6901.0283
ABCA7	19471.7224
SNCAIP	1.2853
DDX20	1304.6272
BTBD1	3393.3162
FAR2	1312.108
BCAS1	0.0
POU1F1	1.2853
CHI3L2	98.9717
SBNO2	4280.2057
PMS1	1826.4781
HMG20B	2673.5219
CALCRL	30.8483
TAF11	956.2982
ANKS1A	2568.1234
AP3D1	8379.1774
ZNF76	2241.6452
SLC9A3R2	96.401
NTHL1	282.2365
UHRF1BP1	2980.7198
GNAI3	3678.6632
IPO5	5622.108
OAT	735.2185
WDR3	1515.4242
PKN2	3208.2262
WDR18	686.3753
TRAM2	4172.2365
NTN1	470.437
GLP2R	10.2828
MCM10	610.5398
DGKA	3969.1517
ERBB3	10.2828
ROPN1	0.0
ANKRD44	3605.3985
KARS	3572.3136
ADAT1	1578.4062
PDIA5	264.7815
TBC1D22B	1447.3265
NDUFB4	544.9871
SPEN	16533.419
MYLK	1294.2159
ZC3H15	2241.6452
MAP2K4	1552.6992
TMEM206	1200.5141
SNAP91	120.8226
SLK	2385.6041
CYB5R4	4056.5553
COL17A1	1.2853
GSTO2	21.8509
SEC61A2	1527.4293
PRKCQ	656.8123
TLE2	83.5476
ASB1	2285.347
FAM107B	6803.3419
ME1	21.8509
TBC1D1	10039.8458
CDK13	6804.6272
MTHFD2	953.2391
SLC9A7	4899.7429
FOXJ2	3322.6221
YBX1	10941.2211
PDE4A	917.7378
PPP2R5A	4574.5501
CTNNA2	0.0
ELAVL1	2983.2905
TIE1	2624.6787
DIP2B	5861.1825
SMARCD1	5569.4344
KDM4A	3168.072
NFYC	2484.7044
ZMYND12	10.2828
SLC9A3	14.3445
NGEF	0.0
ASPM	2223.6504
CD84	8372.7506
ELOVL1	1843.1877
SPI1	4331.6195
ZNRD1	215.0514
MPPED2	3338.0463
CLDN18	0.0
ZBTB11	3013.9846
ATXN3	2608.7147
GOLGA5	1424.1645
FGFR2	16.7095
LRRC40	973.0077
ISOC1	345.7584
EML1	3.856
TRMT11	296.9152
THUMPD1	3164.5244
MSANTD3	134.9614
KIF26A	2275.0643
ATG2B	7193.9332
ARFGEF1	6608.7147
ACSM2B	0.0
ZFAT	993.5733
MTFR1	428.5604
STAG3	1262.1722
FECH	703.0848
MYO9A	4113.072
DDX3Y	12244.2159
PFKP	3021.8509
IDI1	4407.5578
SP100	4645.7841
KLF6	41505.1414
PPAP2A	289.4216
NEO1	23.1362
TRAM1	9827.7635
PHKA1	8.1491
TNFRSF1A	2840.617
CACNB1	697.9434
EVI5	692.8021
STOML1	412.5964
PKM	4766.0668
DHX29	2048.8432
DNTTIP2	2190.2314
METTL22	741.6452
TP53BP1	7862.1851
TRO	766.0668
RRP15	598.9717
RHOA	17320.0514
DHX8	4179.9486
PMS2P4	23.4704
PRKCZ	46.2725
ZFY	1957.5835
IARS2	4327.7635
SYT1	670.9512
NAV3	8.9974
IDH3G	1007.3136
ROGDI	461.4396
PDZD4	110.5398
ATP2B3	2.5707
ROCK1	11703.7404
CBFB	5002.5707
PDK3	257.0694
HYAL2	136.2468
HDAC4	3432.455
RASSF1	6258.4319
FGFR3	29.563
IFI35	596.401
HEATR6	568.1234
COASY	1812.3393
PLEKHH3	39.8458
MEF2A	10456.2339
OTUD5	3430.5913
TFE3	2516.7095
TBC1D25	1392.0308
ACSL4	5035.9897
INPP5A	1574.4859
GPKOW	714.653
GRIPAP1	6800.7712
FTSJ1	969.1517
PRR11	845.7584
REEP1	1.2853
ATP11A	6051.4139
POLR1A	3250.6427
LAPTM4A	3883.0334
TTC7A	16347.8021
IP6K2	2231.3625
STON1-GTF2A1L	86.6581
SRBD1	1312.3393
KIF2A	3367.6093
RASGRP2	36385.6041
PSME4	5340.617
IFT80	2445.3342
SIRT2	1728.7918
ERLEC1	1485.8612
PPP2R5B	529.563
PYGM	458.8689
PAGE1	0.0
PITX1	2.5707
TRPC7	0.0
MAST4	1935.7326
ADGRF5	0.0
SDK2	1420.3085
ADAM7	0.0
NUP133	3235.2185
NUCKS1	9435.7326
VPS35	7381.7481
DNAJA2	2046.2725
BCL3	1632.3907
KCNAB2	5466.581
ABCC9	3.856
GAL	0.0
CLEC2D	26041.2211
FUNDC1	138.8175
MAOB	2.5707
RORA	486.6967
DRD4	10.2828
TGFBR3	259.6401
KIAA1107	447.3008
PLA2G10	0.0
HES2	25.7069
ATP1B3	1569.4087
NEDD4	642.6735
PIGB	847.8021
MAPK6	1746.7866
GNB5	805.9126
RAB27A	1786.6838
CECR5	1070.6941
UFD1L	1521.2853
LRP6	1057.8406
GUCY2C	7.7121
SCT	0.0
PHRF1	3754.4987
IKBKAP	4124.6787
NUCB2	5601.5424
PFN2	14.1388
PTPN3	77.1208
SPTB	149.4087
DAPP1	2240.3599
FGF10	0.0
SLC44A1	2376.6067
TMEM260	1519.2802
SMG6	2654.7044
EXOC5	4326.4781
CLTCL1	106.6838
FGF22	11.5681
FSTL3	169.6658
DGCR2	4277.635
RNF126	962.7249
MNT	1796.491
ZXDC	4143.9589
JMJD6	1167.0951
POLB	544.9871
ST6GALNAC1	14.1388
WIPI1	217.4936
FRMPD1	7.7121
GBA2	2169.6658
NDST1	2700.5141
ASNS	314.91
AP3M2	446.0154
CNGB1	0.0
ST6GALNAC2	72.9692
CHAT	1.2853
PABPC1	55706.8895
TESK2	641.3882
CFAP20	782.7763
CSNK2A2	3611.8252
PTPN21	3.856
EIF2B3	339.3316
CAMK2A	3.856
TCOF1	6124.6787
CDC42	9938.2391
OSBPL3	4178.6632
EPHA8	0.0
SLC12A3	6.4267
RAD18	1097.6864
ATP2B1	3904.8843
TRPM5	10.2828
NCK2	2233.2262
MAP4K4	12856.0411
MGAT4A	2158.0977
RPL31	3832.9049
WDR1	12109.2545
SNX13	2758.3548
MS4A12	0.0
ARHGAP10	163.2391
RPS6KA2	224.9357
ING3	1416.4524
VASH1	228.4833
LMCD1	370.1799
WBSCR22	1484.563
SEL1L	4338.0463
TRIP13	327.7635
ATP6AP1	5010.2828
TCF3	22406.1697
TRIB2	3025.7069
DAZAP1	4480.7198
MBD3	2938.7404
PRLH	0.0
HLTF	1922.8792
FAM50A	786.6324
FAM3A	949.8715
CPSF1	15410.0257
MYO3B	0.0
CYBRD1	347.0437
CDH19	0.0
PDCD2	1641.3882
SLC6A15	0.0
RDH11	1829.0488
PRKACA	1863.7532
ADGRL1	1240.6684
SPP2	0.0
ACTN1	2065.4627
ZFYVE26	3331.6195
RPS6KA6	2.5707
EPN2	30.8483
PTPN18	2142.6735
LIMS2	138.8175
ASIC4	5.1414
SPEG	25.7069
LNX1	106.5039
ALDH3A2	2741.6452
TFRC	6349.6144
SREBF1	1744.2931
TRPC5	7.7121
AFF4	6673.5219
UBE2D1	696.6581
MPP5	403.599
RHOBTB1	376.6067
SMC1A	11255.7841
HSD17B10	483.2905
MARK2	3937.018
HMMR	574.5501
CHFR	3047.5578
TRHDE	0.0
P4HA2	41.1311
FCGR2B	496.3625
NFATC3	17937.3265
TRNT1	755.8612
ACADVL	9537.2751
STK10	12886.8895
FBXW11	3517.9949
ACAP1	4683.8046
CRMP1	890.7455
EVC	8.9974
DERL2	1108.162
SIDT1	397.1722
NDE1	1838.9846
MRVI1	66.838
TMEM38A	16.7095
AP1M1	3974.2931
PVR	47.5578
XRCC1	1322.6607
SCARB1	2921.5938
CYP2W1	3.856
MCM2	4326.4781
MOV10L1	1.2853
PANX2	1028.2776
SELO	1650.6427
TP63	7820.0514
ALPK1	1884.3188
LLGL2	778.9203
PDE8A	1949.8715
CLCN4	15.4242
NLE1	507.3008
SDHA	3623.9203
SMARCE1	6850.8355
FNDC8	5.5527
GSDMB	1493.5733
KDM5A	8044.91
ADAM11	154.2416
PPP2R3A	74.5501
FERMT2	14.1388
ABCB11	0.0
DHRS9	14.1388
CD5L	1.2853
PTGS2	80.9769
IGF2BP2	7624.6787
MAP3K13	286.2596
ST6GAL1	7589.9743
TBX21	428.0206
VDAC1P1	1.2853
